portal.uea.ac.uk/csed/resources/introductory-conference,"[['induction', 'resources', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/academic-staff,"[['academic', 'staff', 'uea']]"
portal.uea.ac.uk/accommodation/contact-us/complaints-comments-and-suggestions,"[['comments', 'and', 'suggestions', 'uea']]"
portal.uea.ac.uk/library/study-space,"[['study', 'space', 'uea']]"
portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/blog/curry-quiz-raising-funds-for-children-in-need,"[['curry', 'quiz', 'raising', 'funds', 'for', 'children', 'in', 'need', 'on', 'tuesday', 'th', 'november', 'latest', 'news', 'uea']]"
portal.uea.ac.uk/estates/access-and-security/campus-safety/emergency-text-service,"[['emergency', 'text', 'service', 'uea']]"
portal.uea.ac.uk/buyers-guide/couriers,"[['sign', 'in']]"
portal.uea.ac.uk/buyers-guide/vehicle-hire,"[['sign', 'in']]"
portal.uea.ac.uk/learning-and-teaching/faq,"[['faqs', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/public-transport,"[['public', 'transport', 'uea']]"
portal.uea.ac.uk/estates/travel-and-transport/by-car/pay-as-you-go-driving,"[['pay', 'as', 'you', 'go', 'driving', 'uea']]"
portal.uea.ac.uk/staffassociation/members-discounts,"[['members', 'discounts', 'uea']]"
portal.uea.ac.uk/planningoffice/uea-bursaries-and-scholarships,"[['uea', 'bursaries', 'and', 'scholarships', 'uea']]"
portal.uea.ac.uk/postgraduate-research/supervisory-meetings,"[['pgr', 'supervisory', 'meetings', 'uea']]"
portal.uea.ac.uk/procurement/sustainable-procurement,"[['sustainable', 'procurement', 'uea']]"
portal.uea.ac.uk/learning-and-teaching/students/the-basics/absence,"[['absence', 'uea']]"
portal.uea.ac.uk/planningoffice/people/profile/list/all/ac,"[['people', 'the', 'hub', 'uea']]"
portal.uea.ac.uk/finance/endowment-fund-investment,"[['investment', 'of', 'endowment', 'funds', 'uea']]"
portal.uea.ac.uk/student-support-service/money-matters/funding-support,"[['funding', 'support', 'for', 'students', 'uea']]"
portal.uea.ac.uk/estates/access-and-security/lost-property,"[['lost', 'property', 'uea']]"
portal.uea.ac.uk/accommodation/apply,"[['apply', 'for', 'accommodation', 'uea']]"
portal.uea.ac.uk/estates/help-centre/self-service-email,"[['self', 'service', 'email', 'uea']]"
portal.uea.ac.uk/graduationoffice/summer-graduation,"[['summer', 'graduation', 'uea']]"
portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences/filming,"[['filming', 'at', 'uea', 'uea']]"
portal.uea.ac.uk/vco/intranet/reception,"[['registry', 'reception', 'uea']]"
portal.uea.ac.uk/en/estates,"[['estates', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/pal,"[['pal', 'peer', 'assisted', 'learning', 'uea']]"
portal.uea.ac.uk/student-support-service/learning-enhancement/about/simon-andrews,"[['dr', 'simon', 'andrews', 'uea']]"
portal.uea.ac.uk/csed/resources/creativity/links-and-books,"[['creative', 'links', 'and', 'books', 'uea']]"
portal.uea.ac.uk/dos/disability/disabled-students-allowances,"[['disability', 'uea']]"
portal.uea.ac.uk/en/csed/projects,"[['projects', 'uea']]"
portal.uea.ac.uk/csed/resources/research-enterprise-division-links,"[['research', 'enterprise', 'division', 'links', 'uea']]"
portal.uea.ac.uk/library/book-suggestions-form,"[['book', 'suggestions', 'uea']]"
portal.uea.ac.uk/estates/help-centre/maps,"[['useful', 'maps', 'uea']]"
portal.uea.ac.uk/catering/cafes-and-restaurants/bio-cafe,"[['bio', 'cafe', 'uea']]"
portal.uea.ac.uk/en/csed/resnet,"[['resnet', 'uea']]"
portal.uea.ac.uk/graduationoffice/summer-graduation/parking-and-accommodation,"[['car', 'parking', 'and', 'accommodation', 'uea']]"
portal.uea.ac.uk/library/borrowing,"[['borrowing', 'uea']]"
portal.uea.ac.uk/en/partnerships-office,"[['partnerships', 'office', 'uea']]"
portal.uea.ac.uk/graduationoffice/summer-graduation/where-to-eat,"[['where', 'to', 'eat', 'uea']]"
portal.uea.ac.uk/library/special-collections,"[['special', 'collections', 'uea']]"
portal.uea.ac.uk/accommodation/living-in-residences/address-details,"[['address', 'details', 'uea']]"
portal.uea.ac.uk/en/csed/resources,"[['resources', 'uea']]"
portal.uea.ac.uk/library/subject-guides,"[['subject', 'guides', 'uea']]"
